,Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
0,,Total,2,2,70,29,50,12,25,12,17,2,23,17,2,0,4,2,82,,.580,.480,.706,,.713,36.0,145,112,+8.6,,35.1,41.0,11.5,8.5
1,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
2,Place,Home,1,1,36,16,25,9,14,8,10,1,10,7,0,0,0,1,49,,.640,.643,.800,,.833,34.9,173,120,+12.2,,36.0,49.0,10.0,7.0
3,,Road,1,1,34,13,25,3,11,4,7,1,13,10,2,0,4,1,33,,.520,.273,.571,,.588,37.1,119,105,+5.2,,34.2,33.0,13.0,10.0
4,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
5,All-Star,Pre,2,2,70,29,50,12,25,12,17,2,23,17,2,0,4,2,82,,.580,.480,.706,,.713,36.0,145,112,+8.6,,35.1,41.0,11.5,8.5
6,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
7,Result,Win,2,2,70,29,50,12,25,12,17,2,23,17,2,0,4,2,82,,.580,.480,.706,,.713,36.0,145,112,+8.6,,35.1,41.0,11.5,8.5
8,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
9,Month,October,2,2,70,29,50,12,25,12,17,2,23,17,2,0,4,2,82,,.580,.480,.706,,.713,36.0,145,112,+8.6,,35.1,41.0,11.5,8.5
10,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
11,Day,Wednesday,1,1,34,13,25,3,11,4,7,1,13,10,2,0,4,1,33,,.520,.273,.571,,.588,37.1,119,105,+5.2,,34.2,33.0,13.0,10.0
12,,Friday,1,1,36,16,25,9,14,8,10,1,10,7,0,0,0,1,49,,.640,.643,.800,,.833,34.9,173,120,+12.2,,36.0,49.0,10.0,7.0
