,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2022-10-19,21-150,DET,,ORL,W (+4),1,26:18,3,6,.500,1,4,.250,7,8,.875,0,5,5,3,2,0,0,2,14,15.4,-1
1,2,2,2022-10-21,21-152,DET,@,NYK,L (-24),1,30:20,3,9,.333,1,6,.167,1,4,.250,2,8,10,1,1,1,1,3,8,5.7,-7
2,3,3,2022-10-22,21-153,DET,@,IND,L (-9),1,29:33,2,10,.200,1,4,.250,6,10,.600,6,11,17,2,0,0,2,5,11,8.1,-1
3,4,4,2022-10-25,21-156,DET,@,WAS,L (-21),1,27:15,5,11,.455,1,4,.250,2,2,1.000,1,9,10,1,0,0,0,2,13,10.6,-13
4,5,5,2022-10-26,21-157,DET,,ATL,L (-5),1,27:05,2,6,.333,0,4,.000,3,4,.750,3,6,9,0,0,1,0,0,7,7.8,-3
5,6,6,2022-10-28,21-159,DET,,ATL,L (-24),1,29:24,6,11,.545,2,5,.400,3,5,.600,4,4,8,1,0,1,0,2,17,15.5,-11
6,7,7,2022-10-30,21-161,DET,,GSW,W (+14),1,32:56,6,10,.600,2,5,.400,10,11,.909,5,8,13,0,0,0,0,3,24,23.7,+12
7,8,8,2022-10-31,21-162,DET,@,MIL,L (-2),1,29:30,4,9,.444,0,2,.000,3,4,.750,5,6,11,2,0,1,2,5,11,9.3,-3
8,9,9,2022-11-02,21-164,DET,@,MIL,L (-25),1,32:30,6,9,.667,2,3,.667,2,2,1.000,1,9,10,1,0,1,2,1,16,14.5,-21
9,10,10,2022-11-04,21-166,DET,,CLE,L (-24),1,23:40,3,5,.600,0,1,.000,0,0,,3,1,4,1,2,1,2,4,6,5.9,-16
10,11,11,2022-11-07,21-169,DET,,OKC,W (+9),1,26:27,4,7,.571,1,2,.500,2,4,.500,4,8,12,1,2,2,1,5,11,13.2,+22
11,12,12,2022-11-09,21-171,DET,@,BOS,L (-16),1,20:29,3,6,.500,1,4,.250,5,6,.833,3,7,10,1,0,0,1,4,12,10.9,-2
12,13,13,2022-11-11,21-173,DET,@,NYK,L (-9),1,29:29,4,7,.571,2,4,.500,3,4,.750,4,4,8,3,0,2,2,4,13,13.2,-5
13,14,14,2022-11-12,21-174,DET,,BOS,L (-9),1,27:42,3,8,.375,2,4,.500,0,0,,1,8,9,2,1,0,1,3,8,6.9,+2
14,15,15,2022-11-14,21-176,DET,,TOR,L (-4),1,12:40,3,6,.500,2,2,1.000,1,1,1.000,1,3,4,0,0,1,2,2,9,5.5,+3
15,16,,2022-11-17,21-179,DET,@,LAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,17,,2022-11-18,21-180,DET,@,LAL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,18,,2022-11-20,21-182,DET,@,SAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,19,,2022-11-22,21-184,DET,@,DEN,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,20,,2022-11-23,21-185,DET,@,UTA,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2022-11-25,21-187,DET,@,PHO,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,22,,2022-11-27,21-189,DET,,CLE,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,23,16,2022-11-29,21-191,DET,,NYK,L (-30),1,26:02,6,13,.462,5,9,.556,2,2,1.000,1,4,5,1,0,1,2,2,19,12.8,-22
24,24,17,2022-12-01,21-193,DET,,DAL,W (+6),1,36:34,4,12,.333,1,4,.250,0,0,,3,9,12,3,0,0,1,2,9,7.3,+8
25,25,18,2022-12-04,21-196,DET,,MEM,L (-10),1,27:00,3,7,.429,2,5,.400,0,0,,0,4,4,1,0,2,0,4,8,6.0,-14
26,26,19,2022-12-06,21-198,DET,@,MIA,W (+20),1,28:19,5,9,.556,1,3,.333,0,2,.000,2,9,11,2,0,0,1,2,11,9.6,+9
27,27,20,2022-12-07,21-199,DET,@,NOP,L (-6),1,29:35,3,8,.375,2,5,.400,2,2,1.000,1,3,4,1,0,0,1,4,10,5.3,0
28,28,21,2022-12-09,21-201,DET,@,MEM,L (-11),1,28:23,5,9,.556,3,6,.500,0,0,,2,5,7,0,0,2,3,4,13,8.4,-12
29,29,22,2022-12-11,21-203,DET,,LAL,L (-7),1,24:15,2,8,.250,2,7,.286,2,2,1.000,1,4,5,0,0,0,1,0,8,4.1,-4
30,30,23,2022-12-14,21-206,DET,@,CHO,W (+7),1,41:20,8,10,.800,2,3,.667,1,2,.500,3,8,11,1,0,2,2,4,19,17.8,+12
31,31,24,2022-12-16,21-208,DET,,SAC,L (-9),1,25:56,4,7,.571,3,5,.600,2,2,1.000,0,7,7,1,0,0,4,2,13,7.7,-6
32,32,25,2022-12-18,21-210,DET,,BRK,L (-3),1,28:46,2,7,.286,1,3,.333,4,4,1.000,1,6,7,0,1,1,0,1,9,8.7,+13
33,33,26,2022-12-20,21-212,DET,,UTA,L (-15),1,27:28,3,9,.333,0,5,.000,1,1,1.000,0,3,3,1,0,1,0,0,7,4.2,-10
34,34,27,2022-12-21,21-213,DET,@,PHI,L (-20),1,21:53,3,7,.429,0,1,.000,0,0,,2,3,5,1,0,0,5,5,6,-1.7,-11
35,35,28,2022-12-23,21-215,DET,@,ATL,L (-25),1,27:57,2,7,.286,2,4,.500,1,2,.500,1,3,4,3,0,0,2,1,7,3.8,-14
36,36,29,2022-12-26,21-218,DET,,LAC,L (-11),1,39:43,8,10,.800,3,4,.750,2,3,.667,2,5,7,1,1,2,0,3,21,21.6,-18
37,37,30,2022-12-28,21-220,DET,,ORL,W (+20),1,26:30,4,12,.333,2,8,.250,1,2,.500,0,3,3,0,0,0,1,2,11,2.9,+10
38,38,31,2022-12-30,21-222,DET,@,CHI,L (-14),1,33:18,6,15,.400,2,7,.286,2,2,1.000,4,6,10,2,3,0,1,2,16,15.1,-5
39,39,32,2022-12-31,21-223,DET,@,MIN,W (+12),1,24:23,3,7,.429,0,1,.000,0,0,,4,3,7,0,1,1,2,2,6,4.9,-3
40,40,33,2023-01-02,21-225,DET,@,POR,L (-29),1,28:21,3,8,.375,0,2,.000,3,4,.750,0,6,6,1,0,1,3,3,9,3.2,-25
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,34,2023-01-04,21-227,DET,@,GSW,W (+3),1,30:40,6,14,.429,1,7,.143,0,0,,2,5,7,1,0,1,2,1,13,7.5,+4
43,42,35,2023-01-06,21-229,DET,@,SAS,L (-12),1,29:43,3,8,.375,2,6,.333,3,6,.500,4,4,8,3,1,0,2,5,11,8.5,-1
44,43,36,2023-01-08,21-231,DET,,PHI,L (-12),1,35:06,7,15,.467,0,3,.000,6,7,.857,3,10,13,2,1,0,4,1,20,15.0,-1
45,44,,2023-01-10,21-233,DET,@,PHI,L (-31),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,45,,2023-01-11,21-234,DET,,MIN,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,46,,2023-01-13,21-236,DET,,NOP,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
