,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Sat, Apr 15, 2023",3:30p,,Box Score,,Atlanta Hawks,W,,112,99,1,0,W 1,
1,2,"Tue, Apr 18, 2023",7:00p,,Box Score,,Atlanta Hawks,W,,119,106,2,0,W 2,
2,3,"Fri, Apr 21, 2023",7:00p,,Box Score,@,Atlanta Hawks,L,,122,130,2,1,L 1,
3,4,"Sun, Apr 23, 2023",7:00p,,Box Score,@,Atlanta Hawks,W,,129,121,3,1,W 1,
4,5,"Tue, Apr 25, 2023",7:30p,,Box Score,,Atlanta Hawks,L,,117,119,3,2,L 1,
5,6,"Thu, Apr 27, 2023",8:30p,,Box Score,@,Atlanta Hawks,W,,128,120,4,2,W 1,
6,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
7,7,"Mon, May 1, 2023",7:30p,,Box Score,,Philadelphia 76ers,L,,115,119,4,3,L 1,
8,8,"Wed, May 3, 2023",8:00p,,Box Score,,Philadelphia 76ers,W,,121,87,5,3,W 1,
9,9,"Fri, May 5, 2023",7:30p,,Box Score,@,Philadelphia 76ers,W,,114,102,6,3,W 2,
10,10,"Sun, May 7, 2023",3:30p,,Box Score,@,Philadelphia 76ers,L,OT,115,116,6,4,L 1,
11,11,"Tue, May 9, 2023",7:30p,,Box Score,,Philadelphia 76ers,L,,103,115,6,5,L 2,
12,12,"Thu, May 11, 2023",7:30p,,Box Score,@,Philadelphia 76ers,W,,95,86,7,5,W 1,
13,13,"Sun, May 14, 2023",3:30p,,Box Score,,Philadelphia 76ers,W,,112,88,8,5,W 2,
14,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
15,14,"Wed, May 17, 2023",8:30p,,Box Score,,Miami Heat,L,,116,123,8,6,L 1,
16,15,"Fri, May 19, 2023",8:30p,,Box Score,,Miami Heat,L,,105,111,8,7,L 2,
17,16,"Sun, May 21, 2023",8:30p,,Box Score,@,Miami Heat,L,,102,128,8,8,L 3,
18,17,"Tue, May 23, 2023",8:30p,,Box Score,@,Miami Heat,W,,116,99,9,8,W 1,
19,18,"Thu, May 25, 2023",8:30p,,Box Score,,Miami Heat,W,,110,97,10,8,W 2,
20,19,"Sat, May 27, 2023",8:30p,,Box Score,@,Miami Heat,W,,104,103,11,8,W 3,
21,20,"Mon, May 29, 2023",8:30p,,Box Score,,Miami Heat,L,,84,103,11,9,L 1,
