,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Tue, Oct 18, 2022",7:30p,,Box Score,,Philadelphia 76ers,W,,126,117,1,0,W 1,
1,2,"Fri, Oct 21, 2022",7:30p,,Box Score,@,Miami Heat,W,,111,104,2,0,W 2,
2,3,"Sat, Oct 22, 2022",7:00p,,Box Score,@,Orlando Magic,W,,126,120,3,0,W 3,
3,4,"Mon, Oct 24, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,102,120,3,1,L 1,
4,5,"Fri, Oct 28, 2022",7:30p,,Box Score,,Cleveland Cavaliers,L,OT,123,132,3,2,L 2,
5,6,"Sun, Oct 30, 2022",6:00p,,Box Score,,Washington Wizards,W,,112,94,4,2,W 1,
6,7,"Wed, Nov 2, 2022",7:30p,,Box Score,@,Cleveland Cavaliers,L,OT,113,114,4,3,L 1,
7,8,"Fri, Nov 4, 2022",7:30p,,Box Score,,Chicago Bulls,W,,123,119,5,3,W 1,
8,9,"Sat, Nov 5, 2022",7:30p,,Box Score,@,New York Knicks,W,,133,118,6,3,W 2,
9,10,"Mon, Nov 7, 2022",9:00p,,Box Score,@,Memphis Grizzlies,W,,109,106,7,3,W 3,
10,11,"Wed, Nov 9, 2022",7:30p,,Box Score,,Detroit Pistons,W,,128,112,8,3,W 4,
11,12,"Fri, Nov 11, 2022",7:00p,,Box Score,,Denver Nuggets,W,,131,112,9,3,W 5,
12,13,"Sat, Nov 12, 2022",7:00p,,Box Score,@,Detroit Pistons,W,,117,108,10,3,W 6,
13,14,"Mon, Nov 14, 2022",7:30p,,Box Score,,Oklahoma City Thunder,W,,126,122,11,3,W 7,
14,15,"Wed, Nov 16, 2022",7:30p,,Box Score,@,Atlanta Hawks,W,,126,101,12,3,W 8,
15,16,"Fri, Nov 18, 2022",8:30p,,Box Score,@,New Orleans Pelicans,W,,117,109,13,3,W 9,
16,17,"Mon, Nov 21, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,107,121,13,4,L 1,
17,18,"Wed, Nov 23, 2022",7:30p,,Box Score,,Dallas Mavericks,W,,125,112,14,4,W 1,
18,19,"Fri, Nov 25, 2022",8:00p,,Box Score,,Sacramento Kings,W,,122,104,15,4,W 2,
19,20,"Sun, Nov 27, 2022",6:00p,,Box Score,,Washington Wizards,W,,130,121,16,4,W 3,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Mon, Nov 28, 2022",7:30p,,Box Score,,Charlotte Hornets,W,,140,105,17,4,W 4,
22,22,"Wed, Nov 30, 2022",7:30p,,Box Score,,Miami Heat,W,,134,121,18,4,W 5,
23,23,"Fri, Dec 2, 2022",7:30p,,Box Score,,Miami Heat,L,OT,116,120,18,5,L 1,
24,24,"Sun, Dec 4, 2022",6:00p,,Box Score,@,Brooklyn Nets,W,,103,92,19,5,W 1,
25,25,"Mon, Dec 5, 2022",7:30p,,Box Score,@,Toronto Raptors,W,,116,110,20,5,W 2,
26,26,"Wed, Dec 7, 2022",10:00p,,Box Score,@,Phoenix Suns,W,,125,98,21,5,W 3,
27,27,"Sat, Dec 10, 2022",8:30p,,Box Score,@,Golden State Warriors,L,,107,123,21,6,L 1,
28,28,"Mon, Dec 12, 2022",10:30p,,Box Score,@,Los Angeles Clippers,L,,93,113,21,7,L 2,
29,29,"Tue, Dec 13, 2022",10:00p,,Box Score,@,Los Angeles Lakers,W,OT,122,118,22,7,W 1,
30,30,"Fri, Dec 16, 2022",7:30p,,Box Score,,Orlando Magic,L,,109,117,22,8,L 1,
31,31,"Sun, Dec 18, 2022",3:00p,,Box Score,,Orlando Magic,L,,92,95,22,9,L 2,
32,32,"Wed, Dec 21, 2022",7:30p,,Box Score,,Indiana Pacers,L,,112,117,22,10,L 3,
33,33,"Fri, Dec 23, 2022",7:30p,,Box Score,,Minnesota Timberwolves,W,,121,109,23,10,W 1,
