,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 19, 2022",7:00p,,Box Score,,Orlando Magic,W,,113,109,1,0,W 1,
1,2,"Fri, Oct 21, 2022",7:30p,,Box Score,@,New York Knicks,L,,106,130,1,1,L 1,
2,3,"Sat, Oct 22, 2022",7:00p,,Box Score,@,Indiana Pacers,L,,115,124,1,2,L 2,
3,4,"Tue, Oct 25, 2022",7:00p,,Box Score,@,Washington Wizards,L,,99,120,1,3,L 3,
4,5,"Wed, Oct 26, 2022",7:00p,,Box Score,,Atlanta Hawks,L,,113,118,1,4,L 4,
5,6,"Fri, Oct 28, 2022",7:00p,,Box Score,,Atlanta Hawks,L,,112,136,1,5,L 5,
6,7,"Sun, Oct 30, 2022",6:00p,,Box Score,,Golden State Warriors,W,,128,114,2,5,W 1,
7,8,"Mon, Oct 31, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,108,110,2,6,L 1,
8,9,"Wed, Nov 2, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,91,116,2,7,L 2,
9,10,"Fri, Nov 4, 2022",7:00p,,Box Score,,Cleveland Cavaliers,L,,88,112,2,8,L 3,
10,11,"Mon, Nov 7, 2022",7:30p,,Box Score,,Oklahoma City Thunder,W,,112,103,3,8,W 1,
11,12,"Wed, Nov 9, 2022",7:30p,,Box Score,@,Boston Celtics,L,,112,128,3,9,L 1,
12,13,"Fri, Nov 11, 2022",7:30p,,Box Score,@,New York Knicks,L,,112,121,3,10,L 2,
13,14,"Sat, Nov 12, 2022",7:00p,,Box Score,,Boston Celtics,L,,108,117,3,11,L 3,
14,15,"Mon, Nov 14, 2022",7:00p,,Box Score,,Toronto Raptors,L,,111,115,3,12,L 4,
15,16,"Thu, Nov 17, 2022",10:30p,,Box Score,@,Los Angeles Clippers,L,,91,96,3,13,L 5,
16,17,"Fri, Nov 18, 2022",10:30p,,Box Score,@,Los Angeles Lakers,L,,121,128,3,14,L 6,
17,18,"Sun, Nov 20, 2022",6:00p,,Box Score,@,Sacramento Kings,L,,129,137,3,15,L 7,
18,19,"Tue, Nov 22, 2022",9:00p,,Box Score,@,Denver Nuggets,W,,110,108,4,15,W 1,
19,20,"Wed, Nov 23, 2022",9:00p,,Box Score,@,Utah Jazz,W,,125,116,5,15,W 2,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Fri, Nov 25, 2022",9:00p,,Box Score,@,Phoenix Suns,L,,102,108,5,16,L 1,
22,22,"Sun, Nov 27, 2022",6:00p,,Box Score,,Cleveland Cavaliers,L,,94,102,5,17,L 2,
23,23,"Tue, Nov 29, 2022",7:00p,,Box Score,,New York Knicks,L,,110,140,5,18,L 3,
24,24,"Thu, Dec 1, 2022",7:00p,,Box Score,,Dallas Mavericks,W,OT,131,125,6,18,W 1,
25,25,"Sun, Dec 4, 2022",6:00p,,Box Score,,Memphis Grizzlies,L,,112,122,6,19,L 1,
26,26,"Tue, Dec 6, 2022",7:30p,,Box Score,@,Miami Heat,W,,116,96,7,19,W 1,
27,27,"Wed, Dec 7, 2022",8:00p,,Box Score,@,New Orleans Pelicans,L,,98,104,7,20,L 1,
28,28,"Fri, Dec 9, 2022",8:00p,,Box Score,@,Memphis Grizzlies,L,,103,114,7,21,L 2,
29,29,"Sun, Dec 11, 2022",6:00p,,Box Score,,Los Angeles Lakers,L,,117,124,7,22,L 3,
30,30,"Wed, Dec 14, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,OT,141,134,8,22,W 1,
31,31,"Fri, Dec 16, 2022",7:00p,,Box Score,,Sacramento Kings,L,,113,122,8,23,L 1,
32,32,"Sun, Dec 18, 2022",6:00p,,Box Score,,Brooklyn Nets,L,,121,124,8,24,L 2,
33,33,"Tue, Dec 20, 2022",7:00p,,Box Score,,Utah Jazz,L,,111,126,8,25,L 3,
34,34,"Wed, Dec 21, 2022",7:00p,,Box Score,@,Philadelphia 76ers,L,,93,113,8,26,L 4,
35,35,"Fri, Dec 23, 2022",7:30p,,Box Score,@,Atlanta Hawks,L,,105,130,8,27,L 5,
36,36,"Mon, Dec 26, 2022",7:00p,,Box Score,,Los Angeles Clippers,L,OT,131,142,8,28,L 6,
37,37,"Wed, Dec 28, 2022",7:00p,,Box Score,,Orlando Magic,W,,121,101,9,28,W 1,
38,38,"Fri, Dec 30, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,118,132,9,29,L 1,
39,39,"Sat, Dec 31, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,W,,116,104,10,29,W 1,
40,40,"Mon, Jan 2, 2023",10:00p,,Box Score,@,Portland Trail Blazers,L,,106,135,10,30,L 1,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Wed, Jan 4, 2023",10:00p,,Box Score,@,Golden State Warriors,W,,122,119,11,30,W 1,
43,42,"Fri, Jan 6, 2023",8:00p,,Box Score,@,San Antonio Spurs,L,,109,121,11,31,L 1,
44,43,"Sun, Jan 8, 2023",3:00p,,Box Score,,Philadelphia 76ers,L,,111,123,11,32,L 2,
45,44,"Tue, Jan 10, 2023",7:00p,,Box Score,@,Philadelphia 76ers,L,,116,147,11,33,L 3,
46,45,"Wed, Jan 11, 2023",7:00p,,Box Score,,Minnesota Timberwolves,W,,135,118,12,33,W 1,
47,46,"Fri, Jan 13, 2023",7:00p,,Box Score,,New Orleans Pelicans,L,,110,116,12,34,L 1,
48,47,"Sun, Jan 15, 2023",1:00p,,Box Score,,New York Knicks,L,,104,117,12,35,L 2,
49,48,"Thu, Jan 19, 2023",3:00p,,Box Score,,Chicago Bulls,L,,108,126,12,36,L 3,
50,49,"Mon, Jan 23, 2023",7:00p,,Box Score,,Milwaukee Bucks,L,,130,150,12,37,L 4,
51,50,"Thu, Jan 26, 2023",7:30p,,Box Score,@,Brooklyn Nets,W,,130,122,13,37,W 1,
52,51,"Sat, Jan 28, 2023",7:00p,,Box Score,,Houston Rockets,L,,114,117,13,38,L 1,
53,52,"Mon, Jan 30, 2023",8:30p,,Box Score,@,Dallas Mavericks,L,,105,111,13,39,L 2,
54,53,"Fri, Feb 3, 2023",7:00p,,Box Score,,Charlotte Hornets,W,,118,112,14,39,W 1,
55,54,"Sat, Feb 4, 2023",7:00p,,Box Score,,Phoenix Suns,L,,100,116,14,40,L 1,
56,55,"Mon, Feb 6, 2023",7:00p,,Box Score,,Boston Celtics,L,,99,111,14,41,L 2,
57,56,"Wed, Feb 8, 2023",7:00p,,Box Score,@,Cleveland Cavaliers,L,,85,113,14,42,L 3,
58,57,"Fri, Feb 10, 2023",7:00p,,Box Score,,San Antonio Spurs,W,2OT,138,131,15,42,W 1,
59,58,"Sun, Feb 12, 2023",3:00p,,Box Score,@,Toronto Raptors,L,,118,119,15,43,L 1,
60,59,"Wed, Feb 15, 2023",7:30p,,Box Score,@,Boston Celtics,L,,109,127,15,44,L 2,
61,60,"Thu, Feb 23, 2023",7:00p,,Box Score,@,Orlando Magic,L,,106,108,15,45,L 3,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Sat, Feb 25, 2023",12:00p,,Box Score,,Toronto Raptors,L,,91,95,15,46,L 4,
64,62,"Mon, Feb 27, 2023",7:00p,,Box Score,@,Charlotte Hornets,L,,106,117,15,47,L 5,
65,63,"Wed, Mar 1, 2023",7:00p,,Box Score,,Chicago Bulls,L,,115,117,15,48,L 6,
66,64,"Sat, Mar 4, 2023",7:30p,,Box Score,@,Cleveland Cavaliers,L,,90,114,15,49,L 7,
67,65,"Mon, Mar 6, 2023",7:00p,,Box Score,,Portland Trail Blazers,L,,104,110,15,50,L 8,
68,66,"Tue, Mar 7, 2023",7:00p,,Box Score,,Washington Wizards,L,,117,119,15,51,L 9,
69,67,"Thu, Mar 9, 2023",7:00p,,Box Score,,Charlotte Hornets,L,,103,113,15,52,L 10,
70,68,"Sat, Mar 11, 2023",7:00p,,Box Score,,Indiana Pacers,L,,115,121,15,53,L 11,
71,69,"Mon, Mar 13, 2023",7:00p,,Box Score,,Indiana Pacers,W,,117,97,16,53,W 1,
72,70,"Tue, Mar 14, 2023",7:00p,,Box Score,@,Washington Wizards,L,,97,117,16,54,L 1,
73,71,"Thu, Mar 16, 2023",7:00p,,Box Score,,Denver Nuggets,L,,100,119,16,55,L 2,
74,72,"Sun, Mar 19, 2023",6:00p,,Box Score,,Miami Heat,L,,100,112,16,56,L 3,
75,73,"Tue, Mar 21, 2023",7:30p,,Box Score,@,Atlanta Hawks,L,,107,129,16,57,L 4,
76,74,"Fri, Mar 24, 2023",7:30p,,Box Score,@,Toronto Raptors,L,,97,118,16,58,L 5,
77,75,"Mon, Mar 27, 2023",7:00p,,Box Score,,Milwaukee Bucks,L,,117,126,16,59,L 6,
78,76,"Wed, Mar 29, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,106,107,16,60,L 7,
79,77,"Fri, Mar 31, 2023",8:00p,,Box Score,@,Houston Rockets,L,,115,121,16,61,L 8,
80,78,"Sun, Apr 2, 2023",6:00p,,Box Score,@,Orlando Magic,L,,102,128,16,62,L 9,
81,79,"Tue, Apr 4, 2023",7:00p,,Box Score,,Miami Heat,L,,105,118,16,63,L 10,
82,80,"Wed, Apr 5, 2023",7:00p,,Box Score,,Brooklyn Nets,L,,108,123,16,64,L 11,
83,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
84,81,"Fri, Apr 7, 2023",7:00p,,Box Score,@,Indiana Pacers,W,,122,115,17,64,W 1,
85,82,"Sun, Apr 9, 2023",1:00p,,Box Score,@,Chicago Bulls,L,,81,103,17,65,L 1,
