,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 19, 2022",7:00p,,Box Score,,Washington Wizards,L,,107,114,0,1,L 1,
1,2,"Fri, Oct 21, 2022",7:00p,,Box Score,,San Antonio Spurs,L,,134,137,0,2,L 2,
2,3,"Sat, Oct 22, 2022",7:00p,,Box Score,,Detroit Pistons,W,,124,115,1,2,W 1,
3,4,"Mon, Oct 24, 2022",7:00p,,Box Score,@,Philadelphia 76ers,L,,106,120,1,3,L 1,
4,5,"Wed, Oct 26, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,109,124,1,4,L 2,
5,6,"Fri, Oct 28, 2022",7:30p,,Box Score,@,Washington Wizards,W,,127,117,2,4,W 1,
6,7,"Sat, Oct 29, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,125,116,3,4,W 2,
7,8,"Mon, Oct 31, 2022",7:30p,,Box Score,@,Brooklyn Nets,L,,109,116,3,5,L 1,
8,9,"Fri, Nov 4, 2022",7:00p,,Box Score,,Miami Heat,W,,101,99,4,5,W 1,
9,10,"Mon, Nov 7, 2022",7:45p,,Box Score,,New Orleans Pelicans,W,,129,122,5,5,W 2,
10,11,"Wed, Nov 9, 2022",7:00p,,Box Score,,Denver Nuggets,L,,119,122,5,6,L 1,
11,12,"Sat, Nov 12, 2022",7:00p,,Box Score,,Toronto Raptors,W,,118,104,6,6,W 1,
12,13,"Wed, Nov 16, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,125,113,7,6,W 2,
13,14,"Fri, Nov 18, 2022",8:00p,,Box Score,@,Houston Rockets,W,,99,91,8,6,W 3,
14,15,"Sat, Nov 19, 2022",7:00p,,Box Score,,Orlando Magic,W,,114,113,9,6,W 4,
15,16,"Mon, Nov 21, 2022",7:00p,,Box Score,,Orlando Magic,W,,123,102,10,6,W 5,
16,17,"Wed, Nov 23, 2022",7:00p,,Box Score,,Minnesota Timberwolves,L,,101,115,10,7,L 1,
17,18,"Fri, Nov 25, 2022",8:00p,,Box Score,,Brooklyn Nets,W,,128,117,11,7,W 1,
18,19,"Sun, Nov 27, 2022",4:00p,,Box Score,@,Los Angeles Clippers,L,,100,114,11,8,L 1,
19,20,"Mon, Nov 28, 2022",10:30p,,Box Score,@,Los Angeles Lakers,W,,116,115,12,8,W 1,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Wed, Nov 30, 2022",10:00p,,Box Score,@,Sacramento Kings,L,,114,137,12,9,L 1,
22,22,"Fri, Dec 2, 2022",9:00p,,Box Score,@,Utah Jazz,L,,119,139,12,10,L 2,
23,23,"Sun, Dec 4, 2022",9:00p,,Box Score,@,Portland Trail Blazers,L,,100,116,12,11,L 3,
24,24,"Mon, Dec 5, 2022",10:00p,,Box Score,@,Golden State Warriors,W,,112,104,13,11,W 1,
25,25,"Wed, Dec 7, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,115,121,13,12,L 1,
26,26,"Fri, Dec 9, 2022",7:00p,,Box Score,,Washington Wizards,W,,121,111,14,12,W 1,
27,27,"Sat, Dec 10, 2022",7:00p,,Box Score,,Brooklyn Nets,L,,133,136,14,13,L 1,
28,28,"Mon, Dec 12, 2022",7:00p,,Box Score,,Miami Heat,L,,82,87,14,14,L 2,
29,29,"Wed, Dec 14, 2022",7:00p,,Box Score,,Golden State Warriors,W,,125,119,15,14,W 1,
30,30,"Fri, Dec 16, 2022",7:30p,,Box Score,@,Cleveland Cavaliers,L,,112,118,15,15,L 1,
31,31,"Sun, Dec 18, 2022",5:00p,,Box Score,,New York Knicks,L,,106,109,15,16,L 2,
32,32,"Wed, Dec 21, 2022",7:30p,,Box Score,@,Boston Celtics,W,,117,112,16,16,W 1,
33,33,"Fri, Dec 23, 2022",8:00p,,Box Score,@,Miami Heat,W,,111,108,17,16,W 2,
34,34,"Mon, Dec 26, 2022",8:00p,,Box Score,@,New Orleans Pelicans,L,,93,113,17,17,L 1,
35,35,"Tue, Dec 27, 2022",7:30p,,Box Score,,Atlanta Hawks,W,,129,114,18,17,W 1,
36,36,"Thu, Dec 29, 2022",7:00p,,Box Score,,Cleveland Cavaliers,W,,135,126,19,17,W 2,
37,37,"Sat, Dec 31, 2022",3:00p,,Box Score,,Los Angeles Clippers,W,,131,130,20,17,W 3,
38,38,"Mon, Jan 2, 2023",7:00p,,Box Score,,Toronto Raptors,W,,122,114,21,17,W 4,
39,39,"Wed, Jan 4, 2023",7:00p,,Box Score,@,Philadelphia 76ers,L,OT,126,129,21,18,L 1,
40,40,"Fri, Jan 6, 2023",7:00p,,Box Score,,Portland Trail Blazers,W,,108,99,22,18,W 1,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Sun, Jan 8, 2023",5:00p,,Box Score,,Charlotte Hornets,W,,116,111,23,18,W 2,
43,42,"Wed, Jan 11, 2023",7:30p,,Box Score,@,New York Knicks,L,,113,119,23,19,L 1,
44,43,"Fri, Jan 13, 2023",7:00p,,Box Score,,Atlanta Hawks,L,,111,113,23,20,L 2,
