,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 25, 2023",7:00p,,Box Score,@,Indiana Pacers,L,,120,143,0,1,L 1,
1,2,"Sat, Oct 28, 2023",7:00p,,Box Score,,Memphis Grizzlies,W,,113,106,1,1,W 1,
2,3,"Mon, Oct 30, 2023",7:00p,,Box Score,,Boston Celtics,L,,107,126,1,2,L 1,
3,4,"Wed, Nov 1, 2023",7:30p,,Box Score,@,Atlanta Hawks,L,,121,130,1,3,L 2,
4,5,"Fri, Nov 3, 2023",8:00p,,,@,Miami Heat,,,,,,,,In-Season Tournament
5,6,"Mon, Nov 6, 2023",7:00p,,,@,Philadelphia 76ers,,,,,,,,
6,7,"Wed, Nov 8, 2023",7:00p,,,@,Charlotte Hornets,,,,,,,,
7,8,"Fri, Nov 10, 2023",7:00p,,,,Charlotte Hornets,,,,,,,,In-Season Tournament
8,9,"Sun, Nov 12, 2023",3:00p,,,@,Brooklyn Nets,,,,,,,,
9,10,"Mon, Nov 13, 2023",7:30p,,,@,Toronto Raptors,,,,,,,,
10,11,"Wed, Nov 15, 2023",7:00p,,,,Dallas Mavericks,,,,,,,,
11,12,"Fri, Nov 17, 2023",7:00p,,,,New York Knicks,,,,,,,,In-Season Tournament
12,13,"Mon, Nov 20, 2023",7:00p,,,,Milwaukee Bucks,,,,,,,,
13,14,"Wed, Nov 22, 2023",7:00p,,,@,Charlotte Hornets,,,,,,,,
14,15,"Fri, Nov 24, 2023",8:00p,,,@,Milwaukee Bucks,,,,,,,,In-Season Tournament
15,16,"Sat, Nov 25, 2023",7:00p,,,,Atlanta Hawks,,,,,,,,
16,17,"Mon, Nov 27, 2023",7:00p,,,@,Detroit Pistons,,,,,,,,
17,18,"Wed, Nov 29, 2023",7:00p,,,@,Orlando Magic,,,,,,,,
