,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
0,,Total,4,1,3,43.5,94.3,11.5,36.5,16.8,22.8,9.8,41.3,27.5,10.3,5.3,12.8,16.0,115.3,.462,.315,.523,.736,.553,48.0,98.0,16.8,43.8,13.5,15.0,11.3,51.0,30.5,9.0,6.3,16.3,20.3,126.3,.490,.383,.575,.900,.603
1,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
2,Place,Home,2,1,1,39.5,90.0,13.5,41.0,17.5,24.0,11.0,42.5,25.0,10.5,4.5,13.0,14.0,110.0,.439,.329,.514,.729,.547,45.0,96.5,19.0,50.0,7.0,8.0,10.5,48.0,29.0,9.0,7.0,16.5,21.0,116.0,.466,.380,.565,.875,.580
3,,Road,2,0,2,47.5,98.5,9.5,32.0,16.0,21.5,8.5,40.0,30.0,10.0,6.0,12.5,18.0,120.5,.482,.297,.530,.744,.558,51.0,99.5,14.5,37.5,20.0,22.0,12.0,54.0,32.0,9.0,5.5,16.0,19.5,136.5,.513,.387,.585,.909,.625
4,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
5,All-Star,Pre,4,1,3,43.5,94.3,11.5,36.5,16.8,22.8,9.8,41.3,27.5,10.3,5.3,12.8,16.0,115.3,.462,.315,.523,.736,.553,48.0,98.0,16.8,43.8,13.5,15.0,11.3,51.0,30.5,9.0,6.3,16.3,20.3,126.3,.490,.383,.575,.900,.603
6,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
7,Result,Win,1,1,0,40.0,93.0,16.0,46.0,17.0,22.0,11.0,45.0,24.0,9.0,5.0,11.0,15.0,113.0,.430,.348,.516,.773,.550,39.0,91.0,19.0,47.0,9.0,9.0,6.0,45.0,27.0,7.0,8.0,16.0,21.0,106.0,.429,.404,.533,1.000,.558
8,,Loss,3,0,3,44.7,94.7,10.0,33.3,16.7,23.0,9.3,40.0,28.7,10.7,5.3,13.3,16.3,116.0,.472,.300,.525,.725,.554,51.0,100.3,16.0,42.7,15.0,17.0,13.0,53.0,31.7,9.7,5.7,16.3,20.0,133.0,.508,.375,.588,.882,.617
9,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
10,Month,October,3,1,2,41.0,92.0,12.0,35.3,19.3,25.7,11.0,43.3,26.0,9.0,6.0,13.3,13.0,113.3,.446,.340,.511,.753,.549,48.7,100.0,19.3,47.7,8.3,9.3,10.3,49.0,32.0,9.3,7.3,15.0,21.7,125.0,.487,.406,.583,.893,.600
11,,November,1,0,1,51.0,101.0,10.0,40.0,9.0,14.0,6.0,35.0,32.0,14.0,3.0,11.0,25.0,121.0,.505,.250,.554,.643,.565,46.0,92.0,9.0,32.0,29.0,32.0,14.0,57.0,26.0,8.0,3.0,20.0,16.0,130.0,.500,.281,.549,.906,.613
12,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
13,Day,Monday,1,0,1,39.0,87.0,11.0,36.0,18.0,26.0,11.0,40.0,26.0,12.0,4.0,15.0,13.0,107.0,.448,.306,.511,.692,.543,51.0,102.0,19.0,53.0,5.0,7.0,15.0,51.0,31.0,11.0,6.0,17.0,21.0,126.0,.500,.358,.593,.714,.600
14,,Wednesday,2,0,2,47.5,98.5,9.5,32.0,16.0,21.5,8.5,40.0,30.0,10.0,6.0,12.5,18.0,120.5,.482,.297,.530,.744,.558,51.0,99.5,14.5,37.5,20.0,22.0,12.0,54.0,32.0,9.0,5.5,16.0,19.5,136.5,.513,.387,.585,.909,.625
15,,Saturday,1,1,0,40.0,93.0,16.0,46.0,17.0,22.0,11.0,45.0,24.0,9.0,5.0,11.0,15.0,113.0,.430,.348,.516,.773,.550,39.0,91.0,19.0,47.0,9.0,9.0,6.0,45.0,27.0,7.0,8.0,16.0,21.0,106.0,.429,.404,.533,1.000,.558
16,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
17,Rest,1 Day,2,0,2,45.0,94.0,10.5,38.0,13.5,20.0,8.5,37.5,29.0,13.0,3.5,13.0,19.0,114.0,.479,.276,.535,.675,.554,48.5,97.0,14.0,42.5,17.0,19.5,14.5,54.0,28.5,9.5,4.5,18.5,18.5,128.0,.500,.329,.572,.872,.606
18,,2 Days,1,1,0,40.0,93.0,16.0,46.0,17.0,22.0,11.0,45.0,24.0,9.0,5.0,11.0,15.0,113.0,.430,.348,.516,.773,.550,39.0,91.0,19.0,47.0,9.0,9.0,6.0,45.0,27.0,7.0,8.0,16.0,21.0,106.0,.429,.404,.533,1.000,.558
19,,3+ Days,1,0,1,44.0,96.0,9.0,24.0,23.0,29.0,11.0,45.0,28.0,6.0,9.0,14.0,11.0,120.0,.458,.375,.505,.793,.552,56.0,107.0,20.0,43.0,11.0,12.0,10.0,51.0,38.0,10.0,8.0,12.0,23.0,143.0,.523,.465,.617,.917,.637
20,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
21,Conference,Eastern,3,0,3,44.7,94.7,10.0,33.3,16.7,23.0,9.3,40.0,28.7,10.7,5.3,13.3,16.3,116.0,.472,.300,.525,.725,.554,51.0,100.3,16.0,42.7,15.0,17.0,13.0,53.0,31.7,9.7,5.7,16.3,20.0,133.0,.508,.375,.588,.882,.617
22,,Western,1,1,0,40.0,93.0,16.0,46.0,17.0,22.0,11.0,45.0,24.0,9.0,5.0,11.0,15.0,113.0,.430,.348,.516,.773,.550,39.0,91.0,19.0,47.0,9.0,9.0,6.0,45.0,27.0,7.0,8.0,16.0,21.0,106.0,.429,.404,.533,1.000,.558
23,Split,Value,G,W,L,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,eFG%,FT%,TS%
24,Division,Atlantic,1,0,1,39.0,87.0,11.0,36.0,18.0,26.0,11.0,40.0,26.0,12.0,4.0,15.0,13.0,107.0,.448,.306,.511,.692,.543,51.0,102.0,19.0,53.0,5.0,7.0,15.0,51.0,31.0,11.0,6.0,17.0,21.0,126.0,.500,.358,.593,.714,.600
25,,Central,1,0,1,44.0,96.0,9.0,24.0,23.0,29.0,11.0,45.0,28.0,6.0,9.0,14.0,11.0,120.0,.458,.375,.505,.793,.552,56.0,107.0,20.0,43.0,11.0,12.0,10.0,51.0,38.0,10.0,8.0,12.0,23.0,143.0,.523,.465,.617,.917,.637
26,,Southeast,1,0,1,51.0,101.0,10.0,40.0,9.0,14.0,6.0,35.0,32.0,14.0,3.0,11.0,25.0,121.0,.505,.250,.554,.643,.565,46.0,92.0,9.0,32.0,29.0,32.0,14.0,57.0,26.0,8.0,3.0,20.0,16.0,130.0,.500,.281,.549,.906,.613
27,,Southwest,1,1,0,40.0,93.0,16.0,46.0,17.0,22.0,11.0,45.0,24.0,9.0,5.0,11.0,15.0,113.0,.430,.348,.516,.773,.550,39.0,91.0,19.0,47.0,9.0,9.0,6.0,45.0,27.0,7.0,8.0,16.0,21.0,106.0,.429,.404,.533,1.000,.558
