,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0.0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us,6,Duke
1,8.0,Kristaps Porziņģis,PF,7-3,240,"August 2, 1995",lv,7,
2,9.0,Derrick White,SG,6-4,190,"July 2, 1994",us,6,"Colorado-Colorado Springs, Colorado"
3,7.0,Jaylen Brown,SF,6-6,223,"October 24, 1996",us,7,California
4,4.0,Jrue Holiday,PG,6-4,205,"June 12, 1990",us,14,UCLA
5,42.0,Al Horford,C,6-9,240,"June 3, 1986",do,16,Florida
6,11.0,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon
7,30.0,Sam Hauser,SF,6-8,215,"December 8, 1997",us,2,"Marquette, Virginia"
8,12.0,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca,4,Syracuse
9,40.0,Luke Kornet,C,7-2,250,"July 15, 1995",us,6,Vanderbilt
10,,Jordan Walsh,SF,6-7,205,"March 3, 2004",us,R,Arkansas
11,,JD Davison (TW),SG,6-3,195,"October 3, 2002",us,1,Alabama
12,,Dalano Banton,PG,6-9,204,"November 7, 1999",ca,2,Nebraska
13,,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,5,Kansas
14,,Neemias Queta (TW),C,7-0,245,"July 13, 1999",pt,2,Utah State University
15,,Lamar Stevens,PF,6-6,230,"July 9, 1997",us,3,Penn State
16,,Nathan Knight (TW),PF,6-10,253,"September 20, 1997",us,3,William & Mary
