,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Jayson Tatum,25.0,2,2.0,80,22,44,0.5,6,18,0.333,16,26,0.615,0.568,6,9,0.667,0,19,19,9,3,1,6,7,56
1,2.0,Jaylen Brown,27.0,2,2.0,72,15,33,0.455,3,11,0.273,12,22,0.545,0.5,5,8,0.625,2,10,12,6,3,0,6,6,38
2,3.0,Jrue Holiday,33.0,2,2.0,71,11,23,0.478,2,9,0.222,9,14,0.643,0.522,2,2,1.0,4,10,14,9,0,4,3,5,26
3,4.0,Kristaps Porziņģis,28.0,2,2.0,68,14,27,0.519,7,15,0.467,7,12,0.583,0.648,12,14,0.857,4,13,17,1,3,5,2,10,47
4,5.0,Derrick White,29.0,2,2.0,68,13,21,0.619,6,10,0.6,7,11,0.636,0.762,8,10,0.8,3,9,12,5,3,4,3,4,40
5,6.0,Al Horford,37.0,2,0.0,50,3,10,0.3,2,5,0.4,1,5,0.2,0.4,0,0,,6,11,17,4,0,1,6,3,8
6,7.0,Sam Hauser,26.0,2,0.0,24,1,6,0.167,1,6,0.167,0,0,,0.25,0,0,,0,3,3,0,1,1,0,2,3
7,8.0,Payton Pritchard,26.0,2,0.0,24,2,5,0.4,1,4,0.25,1,1,1.0,0.5,2,2,1.0,0,1,1,2,0,0,0,3,7
8,9.0,Oshae Brissett,25.0,1,0.0,14,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,3,2,5,0,0,0,2,1,2
9,10.0,Luke Kornet,28.0,1,0.0,8,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,0,1,2,0,1,0,0,0
10,,,,2,,480,82,172,0.477,28,78,0.359,54,94,0.574,0.558,35,45,0.778,23,78,101,38,13,17,28,41,227
