,Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
0,1,Jayson Tatum,25,2,80,21.9,0.584,0.409,0.205,0.0,21.5,11.8,19.4,1.8,1.1,11.1,29.5,,0.2,0.1,0.3,0.168,,1.7,-1.2,0.5,0.1
1,2,Jaylen Brown,27,2,72,13.7,0.52,0.333,0.242,3.1,12.6,8.3,12.9,2.1,0.0,14.1,25.8,,0.0,0.1,0.1,0.043,,-3.0,-3.0,-6.0,-0.1
2,3,Jrue Holiday,33,2,71,15.7,0.544,0.391,0.087,6.2,12.8,9.8,18.1,0.0,4.8,11.2,16.5,,0.1,0.0,0.2,0.126,,0.4,-1.9,-1.5,0.0
3,4,Kristaps Porziņģis,28,2,68,28.1,0.709,0.556,0.519,6.5,17.3,12.4,2.3,2.2,6.3,5.7,22.6,,0.4,0.1,0.5,0.331,,5.5,0.1,5.6,0.1
4,5,Derrick White,29,2,68,27.0,0.787,0.476,0.476,4.9,12.0,8.8,11.1,2.2,5.0,10.6,18.2,,0.3,0.1,0.4,0.304,,6.9,1.1,8.0,0.2
5,6,Al Horford,37,2,50,5.1,0.4,0.5,0.0,13.2,19.9,16.9,10.1,0.0,1.7,37.5,14.0,,-0.1,0.0,-0.1,-0.049,,-4.7,-3.9,-8.5,-0.1
6,7,Sam Hauser,26,2,24,1.4,0.25,1.0,0.0,0.0,11.3,6.2,0.0,2.1,3.6,0.0,10.9,,-0.1,0.0,0.0,-0.06,,-7.1,-2.3,-9.4,0.0
7,8,Payton Pritchard,26,2,24,9.0,0.595,0.8,0.4,0.0,3.8,2.1,10.8,0.0,0.0,0.0,10.7,,0.1,0.0,0.1,0.113,,-3.9,-3.2,-7.1,0.0
8,9,Oshae Brissett,25,1,14,4.8,0.5,0.0,0.0,23.6,12.9,17.8,0.0,0.0,0.0,50.0,12.5,,0.0,0.0,0.0,-0.058,,-6.0,-6.0,-12.0,0.0
9,10,Luke Kornet,28,1,8,12.8,0.0,0.0,0.0,13.8,0.0,6.2,29.3,0.0,10.7,0.0,5.5,,0.0,0.0,0.0,0.082,,2.5,1.4,4.0,0.0
